Date,Ranking,results,Competition,Matchday
2018-08-19,6,W,League,0
2018-08-27,6,D,League,1
2018-08-31,8,L,League,2
2018-09-16,7,D,League,3
2018-09-19,,L,European,4
2018-09-23,11,L,League,5
2018-09-26,13,W,League,6
2018-09-29,10,W,League,7
2018-10-02,,W,European,8
2018-10-06,10,W,League,9
2018-10-20,7,L,League,10
2018-10-23,,W,European,11
2018-10-28,8,D,League,12
2018-11-03,6,D,League,13
2018-11-07,,W,European,14
2018-11-11,8,W,League,15
2018-11-24,6,L,League,16
2018-11-27,,L,European,17
2018-12-02,7,D,League,18
2018-12-08,7,D,League,19
2018-12-12,,L,European,20
2018-12-16,9,W,League,21
2018-12-22,8,L,League,22
2018-12-26,10,W,League,23
2018-12-29,7,W,League,24
2019-01-14,,W,Acup,25
2019-01-19,6,W,League,26
2019-01-27,5,D,League,27
2019-01-30,,L,Acup,28
2019-02-03,5,D,League,29
2019-02-08,5,W,League,30
2019-02-12,,W,European,31
2019-02-18,5,W,League,32
2019-02-23,5,W,League,33
2019-03-02,5,L,League,34
2019-03-06,,L,European,35
2019-03-11,6,W,League,36
2019-03-16,5,L,League,37
2019-03-31,6,L,League,38
2019-04-03,7,D,League,39
2019-04-06,7,W,League,40
2019-04-13,7,W,League,41
2019-04-20,5,D,League,42
2019-04-27,6,W,League,43
2019-05-05,5,D,League,44
2019-05-12,6,W,League,45
2019-05-18,6,D,League,46
2019-05-26,6,W,League,47
