Date,Ranking,results,Competition,Matchday
2018-08-18,8,L,League,0
2018-08-25,14,L,League,1
2018-09-02,19,W,League,2
2018-09-16,16,W,League,3
2018-09-20,,W,European,4
2018-09-23,9,W,League,5
2018-09-26,5,W,League,6
2018-09-29,4,L,League,7
2018-10-04,,L,European,8
2018-10-07,6,W,League,9
2018-10-21,5,W,League,10
2018-10-25,,W,European,11
2018-10-29,4,L,League,12
2018-11-04,5,W,League,13
2018-11-08,,W,European,14
2018-11-11,5,D,League,15
2018-11-25,4,D,League,16
2018-11-29,,L,European,17
2018-12-02,4,D,League,18
2018-12-08,5,D,League,19
2018-12-13,,L,European,20
2018-12-17,5,L,League,21
2018-12-22,5,W,League,22
2018-12-26,4,W,League,23
2018-12-29,4,D,League,24
2019-01-12,,W,Acup,25
2019-01-20,4,L,League,26
2019-01-27,6,L,League,27
2019-01-31,,W,Acup,28
2019-02-04,8,W,League,29
2019-02-07,7,W,League,30
2019-02-14,,L,European,31
2019-02-17,7,L,League,32
2019-02-20,,L,European,33
2019-02-26,,D,Acup,34
2019-03-02,6,W,League,35
2019-03-10,5,D,League,36
2019-03-17,6,W,League,37
2019-03-31,5,W,League,38
2019-04-03,5,L,League,39
2019-04-07,6,D,League,40
2019-04-13,6,L,League,41
2019-04-17,7,W,League,42
2019-04-20,7,L,League,43
2019-04-24,,W,Acup,44
2019-04-28,8,W,League,45
2019-05-05,8,L,League,46
2019-05-11,8,W,League,47
2019-05-15,,W,Acup,48
2019-05-20,8,D,League,49
2019-05-26,8,L,League,50
